Name	Price	Type	Package	Current	Voltage	Resistance	Power
IRF530N	76.21	N-MOSFET	TO-220	17	100	0,11R	
IRF540N	84	N-MOSFET	TO-220	33	100	0,044R	130W
IRF9530N	81.84	P-MOSFET	TO-220	14	100	0,20R	79W
IRF9Z34N	73.48	P-MOSFET	TO-220	17	55	0,1R	56W
IRFZ44N	78	N-MOSFET	TO-220AB	49	55	0,0175R	94W
IRFZ46N	96	N-MOSFET	TO-220AB	53	55	0,0165R	107W
