ID	Status	Name	Price	Description	Type	Voltage	Current	Power	Resistance	Package	Logic
9850	on stock	IRFP044N	153.47	N-MOSFET 55V 49A 100W 0,02R TO-247	N-MOSFET	55	49	100W	0,02R	TO-247	
24204	on stock	IRFP064	397.85	N-MOSFET 60V 70A 300W 0,009R TO247AC	N-MOSFET	60	70	300W	0,009R	TO-247AC	
5958	on stock	IRFP064N	231.6	N-MOSFET 55V 110A 200W 0,008R TO247AC	N-MOSFET	55	110	200W	0,008R	TO-247AC	
9409		IRFP140	119.06	N-MOSFET 100V 33A 140W 0,052R TO247AC	N-MOSFET	100	33	140W	0,052R	TO-247AC	
35643		IRFP140NPBF	141								
1264		IRFP150	174.96	N-MOSFET 100V 41A 230W 0,055R TO247AC	N-MOSFET	100	41	230W	0,055R	TO-247AC	
26785		IRFP150A	162.46	N-MOSFET 100V 42A 193W 0,04R TO247A	N-MOSFET	100	42	193W	0,04R	TO-247A	
6840	on stock	IRFP150N	164.83	N-MOSFET 100V 39A 160W 0,036R TO247AC	N-MOSFET	100	39	160W	0,036R	TO-247AC	
14489		IRFP22N50A	341.22	N-MOSFET 500V 22A 277W 0,23R TO247AC	N-MOSFET	500	22	277W	0,23R	TO-247AC	
2410	on stock	IRFP240	193.16	N-MOSFET 200V 20A 150W 0,18R TO247	N-MOSFET	200	20	150W	0,18R	TO-247	
1262		IRFP250	215.1	N-MOSFET 200V 30A 214W 0,075R TO247AC	N-MOSFET	200	30	214W	0,075R	TO-247AC	
11685		IRFP250N	221.77	N-MOSFET 200V 30A 190W 0,085R TO247AC	N-MOSFET	200	30	190W	0,085R	TO-247AC	
2586	on stock	IRFP260N	288	N-MOSFET 200V 50A 300W 0,04R TO247AC	N-MOSFET	200	50	300W	0,04R	TO-247AC	
8780		IRFP264	297.38	N-MOSFET 250V 38A 280W 0,075R TO247AC	N-MOSFET	250	38	280W	0,075R	TO-247AC	
31419		IRFP27N60K	677.59								
5507	on stock	IRFP2907	465.73	N-MOSFET 75V 209A 470W 0,0045R TO247AC	N-MOSFET	75	209	470W	0,0045R	TO-247AC	
37579		IRFP3206	278.2	N-MOSFET 60V 200A 280W 0.003R TO247AC	N-MOSFET	60	200	280W	0.003R	TO-247AC	
2480	on stock	IRFP350	276	N-MOSFET 400V 16A 190W 0,3R TO247AC	N-MOSFET	400	16	190W	0,3R	TO-247AC	
2483		IRFP360	342.43	N-MOSFET 400V 23A 280W 0,2R TO247AC	N-MOSFET	400	23	280W	0,2R	TO-247AC	
38151		IRFP360LC	366.54								
34784		IRFP360PBF	279.37								
